osm_way_id,name,highway_class,footway_tag,width_m,surface,district,length_m
1495583907,,footway,,,concrete,South,12
1495583908,,footway,,,concrete,South,13
1495583909,,footway,,,concrete,South,8
1495583910,,footway,,,concrete,South,8
1495583911,,footway,,,concrete,South,9
1495583912,,footway,,,concrete,South,11
1495583913,,footway,,,concrete,South,8
1495583914,,footway,,,concrete,South,13
1495583915,,footway,,,concrete,South,13
1495583916,,footway,,,concrete,South,14
1495583917,,footway,,,concrete,South,15
1495583918,,footway,,,concrete,South,12
1495583919,,footway,,,concrete,South,13
1495583920,,footway,,,concrete,South,11
1495583921,,footway,,,concrete,South,13
1495583922,,footway,,,concrete,South,17
1495583923,,footway,,,concrete,South,21
1495583924,,footway,,,concrete,South,14
1495583925,,footway,,,concrete,South,17
1495583926,,footway,,,concrete,South,18
1495583927,,footway,,,concrete,South,14
1495583928,,footway,,,concrete,South,13
1495583929,,footway,,,concrete,South,13
1495583930,,footway,,,concrete,South,13
1495583931,,footway,,,concrete,South,13
1495583932,,footway,,,concrete,South,15
1495583933,,footway,,,concrete,South,6
1495583934,,footway,,,concrete,South,7
1495583935,,footway,,,concrete,South,8
1495583936,,footway,,,concrete,South,12
1495583937,,footway,,,concrete,South,13
1495583938,,footway,,,concrete,South,15
1495583939,,footway,,,concrete,South,26
1495583940,,footway,,,concrete,South,19
1495583941,,footway,,,concrete,South,18
1495583942,,footway,,,concrete,South,21
1495583943,,footway,,,concrete,South,16
1495583944,,footway,,,concrete,South,13
1495583945,,footway,,,concrete,South,23
1495583946,,footway,,,concrete,South,21
1495583947,,footway,,,concrete,South,20
1495583948,,footway,,,concrete,South,18
1495583949,,footway,,,concrete,South,23
1495583950,,footway,,,concrete,South,17
1495583951,,footway,,,concrete,South,19
1495583952,,footway,,,concrete,South,17
1495583953,,footway,,,concrete,South,14
1495583954,,footway,,,concrete,South,18
1495583955,,footway,,,concrete,South,16
1495583956,,footway,,,concrete,South,28
1495583957,,footway,,,concrete,South,19
1495583958,,footway,,,concrete,South,17
1495583959,,footway,,,concrete,South,18
1495583960,,footway,,,concrete,South,18
1495583961,,footway,,,concrete,South,16
1495583962,,footway,,,concrete,South,7
1495583963,,footway,,,concrete,South,8
1495583964,,footway,,,concrete,South,10
1495583965,,footway,,,concrete,South,16
