ward,ward_no,area_sq_km,mapped_pct,residential_km2,residential_pct,commercial_km2,commercial_pct,industrial_km2,industrial_pct,institutional_km2,institutional_pct,green_open_km2,green_open_pct,other_km2,other_pct
MALKAGANJ,9,0.993,20.9,0.2,20.2,0.001,0.1,0,0,0,0,0.007,0.7,0,0
JHARODA,8,12.511,35.4,2.036,16.3,0,0,0.028,0.2,0,0,2.357,18.8,0.012,0.1
MUKUND PUR,6,5.547,4,0.153,2.8,0.004,0.1,0,0,0.003,0,0.04,0.7,0.021,0.4
BAWANA,28,56.648,16.1,1.361,2.4,0,0,0.868,1.5,0,0,6.88,12.1,0.033,0.1
BHALSWA,19,3.579,23.7,0.428,11.9,0.037,1,0.339,9.5,0,0,0.043,1.2,0,0
SAMAYPUR BADLI,17,3.074,25.2,0.172,5.6,0,0,0.601,19.6,0,0,0,0,0,0
JAHANGIRPURI-I,16,0.589,55.7,0.307,52.1,0.022,3.7,0,0,0,0,0,0,0,0
SARAI PIPAL THALA,15,1.755,9.9,0.129,7.3,0.003,0.2,0.023,1.3,0,0,0.019,1.1,0,0
MAHIPALPUR,144,7.497,30.5,1.506,20.1,0.008,0.1,0,0,0.041,0.5,0,0,0.732,9.8
KAPASHERA,143,21.849,16.2,0.584,2.7,0.123,0.6,0.836,3.8,0,0,1.963,9,0.04,0.2
BIJWASAN,141,22.987,16.8,1.258,5.5,0,0,2.366,10.3,0.061,0.3,0.158,0.7,0.024,0.1
ADARASH  NAGAR,14,1.343,59.2,0.783,58.3,0,0,0.013,0.9,0,0,0,0,0,0
DHIR PUR,13,6.954,29.2,0.331,4.8,0,0,1.572,22.6,0.008,0.1,0.114,1.6,0.009,0.1
G.T.B. NAGAR,12,2.717,18.5,0.121,4.5,0.088,3.2,0.202,7.4,0.003,0.1,0.087,3.2,0,0
TIMAR PUR,10,4.784,19.8,0.302,6.3,0.07,1.5,0.289,6,0.19,4,0.086,1.8,0.011,0.2
RAJA GARDEN,101,2.219,11.4,0.049,2.2,0.069,3.1,0.008,0.4,0.125,5.6,0.001,0,0,0
RAGHUBIR NAGAR,102,0.624,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJOURI GARDEN,105,2.27,2.9,0.026,1.2,0.039,1.7,0,0,0,0,0,0,0,0
NANGAL RAYA,110,2.408,32.1,0.559,23.2,0.091,3.8,0.066,2.7,0.057,2.4,0,0,0,0
HARI NAGAR,111,2.375,33.2,0.574,24.2,0.051,2.2,0.144,6.1,0.019,0.8,0,0,0,0
SUBHASH NAGAR,112,1.398,1.8,0.004,0.3,0,0,0.02,1.4,0,0,0.001,0.1,0,0
MADHU VIHAR,148,1.227,12.4,0.146,11.9,0,0,0,0,0.006,0.5,0,0,0,0
BUDH VIHAR,23,2.214,91.8,2.028,91.6,0,0,0,0,0,0,0.004,0.2,0,0
NANGLOI JAT WEST,31,1.93,49.2,0,0,0,0,0.949,49.2,0,0,0,0,0,0
NITHARI,34,5.643,13.2,0.035,0.6,0,0,0.596,10.6,0,0,0,0,0.112,2
SULTANPUR MAJRA,39,0.67,2.1,0.014,2.1,0,0,0,0,0,0,0,0,0,0
ROHINI NORTH,49,3.37,55.4,1.414,41.9,0.013,0.4,0.422,12.5,0.019,0.6,0,0,0,0
LIBAS PUR,18,6.023,20.8,0.68,11.3,0,0,0.529,8.8,0,0,0.047,0.8,0,0
BRAHAM PURI,254,1.064,9.3,0,0,0,0,0,0,0,0,0,0,0.099,9.3
DICHAON KALAN,139,30.87,8.2,0.258,0.8,0,0,0.056,0.2,0,0,0,0,2.204,7.1
MOTI NAGAR,99,0.967,0.6,0,0,0.006,0.6,0,0,0,0,0,0,0,0
MANGOLPURI,47,0.872,13.4,0.117,13.4,0,0,0,0,0,0,0,0,0,0
LAJPAT NAGAR,155,1.733,11.6,0.153,8.8,0.019,1.1,0,0,0.028,1.6,0.001,0,0,0
PALAM,145,2.821,10.1,0.158,5.6,0.004,0.1,0,0,0,0,0.032,1.1,0.089,3.2
KISHANGARH,172,22.471,6.8,0.077,0.3,0.038,0.2,0.088,0.4,0.059,0.3,0.115,0.5,1.143,5.1
VISHWASH NAGAR,226,1.205,1.6,0,0,0.002,0.2,0,0,0.017,1.4,0,0,0,0
