year,district,district_existed_as_separate_reporting_zone,coverage,theft,robbery,burglary,total_ipc_bns,crime_against_women,total_sll,theft_previous_year_comparable,robbery_previous_year_comparable,burglary_previous_year_comparable,total_ipc_previous_year_comparable,crime_against_women_previous_year_comparable,total_sll_previous_year_comparable,null_reason
2022,Central,true,reported,9370,93,317,17566,625,663,true,true,true,true,true,true,
2022,Dwarka,true,reported,16581,172,765,22580,1411,1731,true,true,true,true,true,true,
2022,East,true,reported,14828,121,513,20785,840,783,true,true,true,true,true,true,
2022,New Delhi,true,reported,1350,9,24,2681,103,84,true,true,true,true,true,true,
2022,North,true,reported,14023,150,503,20790,734,1025,true,true,true,true,true,true,
2022,North-East,true,reported,19364,195,274,26164,1156,1779,true,true,true,true,true,true,
2022,North-West,true,reported,18480,114,234,27575,786,1614,true,true,true,true,true,true,
2022,Outer,true,reported,15120,151,613,23759,1054,1697,true,true,true,true,true,true,
2022,Outer North,true,reported,9044,183,332,14195,1167,1430,true,true,true,true,true,true,
2022,Rohini,true,reported,12058,112,433,18158,1109,1135,true,true,true,true,true,true,
2022,Shahdara,true,reported,11122,88,360,15818,850,1177,true,true,true,true,true,true,
2022,South,true,reported,15243,116,348,21155,1253,1593,true,true,true,true,true,true,
2022,South-East,true,reported,17144,111,650,23833,1284,1793,true,true,true,true,true,true,
2022,South-West,true,reported,7461,58,352,12522,790,1195,true,true,true,true,true,true,
2022,West,true,reported,18360,121,467,24303,957,1383,true,true,true,true,true,true,
