year,district,district_existed_as_separate_reporting_zone,coverage,theft,robbery,burglary,total_ipc_bns,crime_against_women,total_sll,theft_previous_year_comparable,robbery_previous_year_comparable,burglary_previous_year_comparable,total_ipc_previous_year_comparable,crime_against_women_previous_year_comparable,total_sll_previous_year_comparable,null_reason
2023,Central,true,reported,9697,88,324,18567,587,829,true,true,true,true,true,true,
2023,Dwarka,true,reported,17856,173,699,23346,1329,1781,true,true,true,true,true,true,
2023,East,true,reported,15169,99,568,21875,709,794,true,true,true,true,true,true,
2023,New Delhi,true,reported,1436,19,29,2784,93,86,true,true,true,true,true,true,
2023,North,true,reported,18450,154,605,27193,638,991,true,true,true,true,true,true,
2023,North-East,true,reported,19610,110,403,26663,1176,1318,true,true,true,true,true,true,
2023,North-West,true,reported,21436,120,280,28431,803,1492,true,true,true,true,true,true,
2023,Outer,true,reported,14716,91,524,23750,1063,1929,true,true,true,true,true,true,
2023,Outer North,true,reported,10129,168,361,15993,1215,1353,true,true,true,true,true,true,
2023,Rohini,true,reported,13042,83,449,18264,882,1188,true,true,true,true,true,true,
2023,Shahdara,true,reported,9968,145,401,15210,903,584,true,true,true,true,true,true,
2023,South,true,reported,17800,98,434,24309,1073,1840,true,true,true,true,true,true,
2023,South-East,true,reported,19591,127,658,25732,1166,2152,true,true,true,true,true,true,
2023,South-West,true,reported,7594,53,452,12083,702,1196,true,true,true,true,true,true,
2023,West,true,reported,21084,99,724,27606,904,1465,true,true,true,true,true,true,
