rank,name,road,simple,fatal,total,lat,lng,x,y,district,year,cctvPriorityCandidate,pedestrian_crash_prone,pedestrian_simple_crashes,pedestrian_fatal_crashes,pedestrian_total_crashes,two_wheeler_crash_prone,two_wheeler_simple_crashes,two_wheeler_fatal_crashes,two_wheeler_total_crashes,htv_crash_prone,htv_simple_crashes,htv_fatal_crashes,htv_total_crashes,hit_and_run_crash_prone,hit_and_run_simple_crashes,hit_and_run_fatal_crashes,hit_and_run_total_crashes,day_time_crash_prone,day_time_simple_crashes,day_time_fatal_crashes,day_time_total_crashes,night_time_crash_prone,night_time_simple_crashes,night_time_fatal_crashes,night_time_total_crashes,blackspot_persons_killed,blackspot_persons_injured,record_id,location,fatal_crashes,simple_crashes,total_crashes,latitude,longitude,coordinate_status,source_record
85,Paper Market Gajipur,Paper Market Road,1,3,4,28.631,77.319,855.9,473.1,East,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,85,Paper Market Gajipur,3,1,4,28.631,77.319,mapped/project geocode,
86,Goyla Village Najafgarh,Goyla Dairy Road,1,3,4,28.587,76.994,343.7,552.1,Dwarka,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,0,3,3,,,86,Goyla Village Najafgarh,3,1,4,28.587,76.994,mapped/project geocode,
87,Near Haldiram Wazirpur,Ring Road,0,3,3,28.691,77.15,589.5,365.3,North-West,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,87,Near Haldiram Wazirpur,3,0,3,28.691,77.15,mapped/project geocode,
88,Surya Nagar Red Light,Road No. 56,0,3,3,28.668,77.324,863.7,406.6,,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,88,Surya Nagar Red Light,3,0,3,28.668,77.324,mapped/project geocode,
89,IG Indoor Stadium,Ring Road,13,2,15,28.63,77.249,745.5,474.9,Central,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,89,IG Indoor Stadium,2,13,15,28.63,77.249,mapped/project geocode,
90,Seelampur T Point,G.T. Road,13,2,15,28.67,77.266,772.3,403,,2023,false,false,,,,false,,,,false,,,,false,,,,true,8,2,10,false,,,,,,90,Seelampur T Point,2,13,15,28.67,77.266,mapped/project geocode,
91,Moti Bagh Flyover,Ring Road,12,2,14,28.585,77.171,622.6,555.7,South-West,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,91,Moti Bagh Flyover,2,12,14,28.585,77.171,mapped/project geocode,
92,Ashram Chowk,Ring Road,12,2,14,28.572,77.256,756.6,579,South-East,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,8,2,10,,,92,Ashram Chowk,2,12,14,28.572,77.256,mapped/project geocode,
93,Shakarpur Chungi,Vikas Marg,11,2,13,28.631,77.279,792.8,473.1,East,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,93,Shakarpur Chungi,2,11,13,28.631,77.279,mapped/project geocode,
94,Dhaula Kuan,Ring Road,10,2,12,28.592,77.162,608.4,543.1,South-West,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,94,Dhaula Kuan,2,10,12,28.592,77.162,mapped/project geocode,
95,Khaira More Najafgarh,Najafgarh Dwarka Rd,10,2,12,28.608,76.98,321.6,514.4,Dwarka,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,95,Khaira More Najafgarh,2,10,12,28.608,76.98,mapped/project geocode,
96,Azadpur Chowk,GTK Road,10,2,12,28.711,77.175,628.9,329.4,North-West,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,96,Azadpur Chowk,2,10,12,28.711,77.175,mapped/project geocode,
97,Mahipalpur Flyover,NH-8,9,2,11,28.548,77.131,559.6,622.1,South-West,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,97,Mahipalpur Flyover,2,9,11,28.548,77.131,mapped/project geocode,
98,Uttam Nagar,Najafgarh Road,8,2,10,28.621,77.065,455.6,491,Dwarka,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,98,Uttam Nagar,2,8,10,28.621,77.065,mapped/project geocode,
99,Shankar Vihar,NH-8,8,2,10,28.558,77.145,581.6,604.2,South-West,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,99,Shankar Vihar,2,8,10,28.558,77.145,mapped/project geocode,
100,Shanti Van,Ring Road,8,2,10,28.647,77.247,742.4,444.3,Central,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,100,Shanti Van,2,8,10,28.647,77.247,mapped/project geocode,
101,Zakhira Flyover,Rohtak Road,13,1,14,28.665,77.159,603.7,412,West,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,101,Zakhira Flyover,1,13,14,28.665,77.159,mapped/project geocode,
102,Subhash Nagar Metro Station,Najafgarh Road,11,1,12,28.64,77.112,529.6,456.9,West,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,102,Subhash Nagar Metro Station,1,11,12,28.64,77.112,mapped/project geocode,
103,Under Pass Patparganj,Patparganj Road,9,1,10,28.625,77.296,819.6,483.9,East,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,103,Under Pass Patparganj,1,9,10,28.625,77.296,mapped/project geocode,
104,Rajokari Flyover,NH-8,9,1,10,28.52,77.106,520.2,672.4,South-West,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,Rajokari Flyover,1,9,10,28.52,77.106,mapped/project geocode,
105,Baraf Khana Chowk,Rani Jhansi Road,9,1,10,28.663,77.206,677.8,415.6,North,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,105,Baraf Khana Chowk,1,9,10,28.663,77.206,mapped/project geocode,
106,Mool Chand,Ring Road,15,0,15,28.564,77.234,721.9,593.4,South-East,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,106,Mool Chand,0,15,15,28.564,77.234,mapped/project geocode,
107,Outer Circle CP Near Minto Road,Outer Circle CP,10,0,10,28.634,77.221,701.4,467.7,New Delhi,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,107,Outer Circle CP Near Minto Road,0,10,10,28.634,77.221,mapped/project geocode,
