year,district,district_existed_as_separate_reporting_zone,coverage,theft,robbery,burglary,total_ipc_bns,crime_against_women,total_sll,theft_previous_year_comparable,robbery_previous_year_comparable,burglary_previous_year_comparable,total_ipc_previous_year_comparable,crime_against_women_previous_year_comparable,total_sll_previous_year_comparable,null_reason
2019,Central,true,reported,10034,64,149,12995,604,647,true,true,true,true,true,true,
2019,Dwarka,true,reported,19267,90,255,24302,1255,1106,true,true,true,true,true,true,
2019,East,true,reported,19048,182,196,21936,779,636,true,true,true,true,true,true,
2019,New Delhi,true,reported,2798,26,21,3571,123,61,true,true,true,true,true,true,
2019,North,true,reported,13370,58,117,15881,581,578,true,true,true,true,true,true,
2019,North-East,true,reported,17953,300,106,22845,1234,2572,true,true,true,true,true,true,
2019,North-West,true,reported,20825,165,213,24732,824,1221,true,true,true,true,true,true,
2019,Outer,true,reported,17426,165,347,22513,1253,2029,true,true,true,true,true,true,
2019,Outer North,true,reported,8311,174,215,11318,815,1368,false,false,false,false,false,false,
2019,Rohini,true,reported,19325,105,282,22335,1120,814,true,true,true,true,true,true,
2019,Shahdara,true,reported,14834,185,256,17905,989,979,true,true,true,true,true,true,
2019,South,true,reported,19487,150,271,23400,1030,1134,true,true,true,true,true,true,
2019,South-East,true,reported,19636,134,193,23467,865,1038,true,true,true,true,true,true,
2019,South-West,true,reported,12380,54,103,15660,758,829,true,true,true,true,true,true,
2019,West,true,reported,18802,94,300,22915,998,1038,true,true,true,true,true,true,
