year,district,district_existed_as_separate_reporting_zone,coverage,theft,robbery,burglary,total_ipc_bns,crime_against_women,total_sll,theft_previous_year_comparable,robbery_previous_year_comparable,burglary_previous_year_comparable,total_ipc_previous_year_comparable,crime_against_women_previous_year_comparable,total_sll_previous_year_comparable,null_reason
2020,Central,true,reported,7139,101,121,10903,480,539,true,true,true,true,true,true,
2020,Dwarka,true,reported,13858,109,109,21147,1048,1179,true,true,true,true,true,true,
2020,East,true,reported,14483,203,154,18345,640,422,true,true,true,true,true,true,
2020,New Delhi,true,reported,1591,15,25,2391,88,49,true,true,true,true,true,true,
2020,North,true,reported,10897,146,187,15747,459,653,true,true,true,true,true,true,
2020,North-East,true,reported,15667,222,105,22211,988,1656,true,true,true,true,true,true,
2020,North-West,true,reported,16069,147,145,21204,718,1140,true,true,true,true,true,true,
2020,Outer,true,reported,14016,134,203,21230,774,1579,true,true,true,true,true,true,
2020,Outer North,true,reported,6691,131,162,10061,622,1396,true,true,true,true,true,true,
2020,Rohini,true,reported,13467,121,175,16460,736,778,true,true,true,true,true,true,
2020,Shahdara,true,reported,10939,137,169,14261,626,609,true,true,true,true,true,true,
2020,South,true,reported,11505,191,146,17104,639,1072,true,true,true,true,true,true,
2020,South-East,true,reported,13553,177,267,18835,898,1498,true,true,true,true,true,true,
2020,South-West,true,reported,7962,53,85,13526,549,880,true,true,true,true,true,true,
2020,West,true,reported,15092,73,145,20449,761,2993,true,true,true,true,true,true,
