source_id,agency,corporation,vend_name,address,licence_number,licence_type,status,valid_from,valid_to,snapshot_date,temporal_status,latitude,longitude,coordinate_source,coordinate_confidence,coordinate_is_approximate,geocode_review_status,source_file,source_page
dscsc_vends,Delhi State Civil Supplies Corporation,,SOUTH GAMRI BLOCK A,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,BADARPUR,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,MAJNU KA TILA,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,"AZADPUR, GUPTA CORNER",,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,NEW USMANPUR,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,NANGAL RAI,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,MUNIRKA,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,SHORA KOTHI,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,MALKAGANJ,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,ROHINI SECTOR-16,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
