year,district,district_existed_as_separate_reporting_zone,coverage,theft,robbery,burglary,total_ipc_bns,crime_against_women,total_sll,theft_previous_year_comparable,robbery_previous_year_comparable,burglary_previous_year_comparable,total_ipc_previous_year_comparable,crime_against_women_previous_year_comparable,total_sll_previous_year_comparable,null_reason
2021,Central,true,reported,8873,142,195,14714,645,588,true,true,true,true,true,true,
2021,Dwarka,true,reported,15847,150,128,22163,1785,1024,true,true,true,true,true,true,
2021,East,true,reported,15389,186,134,20799,801,562,true,true,true,true,true,true,
2021,New Delhi,true,reported,1523,10,20,2787,89,49,true,true,true,true,true,true,
2021,North,true,reported,14358,169,317,21514,742,665,true,true,true,true,true,true,
2021,North-East,true,reported,19183,253,113,26388,1195,1519,true,true,true,true,true,true,
2021,North-West,true,reported,19211,179,171,27939,895,1054,true,true,true,true,true,true,
2021,Outer,true,reported,14891,215,217,24390,984,1491,true,true,true,true,true,true,
2021,Outer North,true,reported,9005,201,185,14799,1038,1287,true,true,true,true,true,true,
2021,Rohini,true,reported,13086,120,179,17617,1042,697,true,true,true,true,true,true,
2021,Shahdara,true,reported,11483,137,216,16797,857,652,true,true,true,true,true,true,
2021,South,true,reported,12127,197,217,17790,982,1233,true,true,true,true,true,true,
2021,South-East,true,reported,14384,160,251,21104,1238,1064,true,true,true,true,true,true,
2021,South-West,true,reported,9510,68,130,13719,766,792,true,true,true,true,true,true,
2021,West,true,reported,16224,143,160,23381,1113,1339,true,true,true,true,true,true,
