year,district,district_existed_as_separate_reporting_zone,coverage,theft,robbery,burglary,total_ipc_bns,crime_against_women,total_sll,theft_previous_year_comparable,robbery_previous_year_comparable,burglary_previous_year_comparable,total_ipc_previous_year_comparable,crime_against_women_previous_year_comparable,total_sll_previous_year_comparable,null_reason
2024,Central,true,reported,6770,131,352,13690,541,910,true,true,true,true,true,true,
2024,Dwarka,true,reported,12082,96,1089,17317,1177,1641,true,true,true,true,true,true,
2024,East,true,reported,13510,79,759,19711,766,900,true,true,true,true,true,true,
2024,New Delhi,true,reported,1142,11,28,2385,98,65,true,true,true,true,true,true,
2024,North,true,reported,15084,148,688,24275,621,1059,true,true,true,true,true,true,
2024,North-East,true,reported,16434,117,404,22786,1145,1719,true,true,true,true,true,true,
2024,North-West,true,reported,17357,142,358,24329,748,1718,true,true,true,true,true,true,
2024,Outer,true,reported,13432,129,926,21699,1179,2081,true,true,true,true,true,true,
2024,Outer North,true,reported,8316,136,665,14316,1216,1754,true,true,true,true,true,true,
2024,Rohini,true,reported,10023,59,672,16479,883,1562,true,true,true,true,true,true,
2024,Shahdara,true,reported,8128,71,333,13982,808,1179,true,true,true,true,true,true,
2024,South,true,reported,11868,67,423,18913,1227,1588,true,true,true,true,true,true,
2024,South-East,true,reported,16299,96,841,22363,1280,1988,true,true,true,true,true,true,
2024,South-West,true,reported,5388,68,492,9899,716,1139,true,true,true,true,true,true,
2024,West,true,reported,12997,128,926,19383,825,1762,true,true,true,true,true,true,
