rank,name,road,simple,fatal,total,year,cctvPriorityCandidate,pedestrian_crash_prone,pedestrian_simple_crashes,pedestrian_fatal_crashes,pedestrian_total_crashes,two_wheeler_crash_prone,two_wheeler_simple_crashes,two_wheeler_fatal_crashes,two_wheeler_total_crashes,htv_crash_prone,htv_simple_crashes,htv_fatal_crashes,htv_total_crashes,hit_and_run_crash_prone,hit_and_run_simple_crashes,hit_and_run_fatal_crashes,hit_and_run_total_crashes,day_time_crash_prone,day_time_simple_crashes,day_time_fatal_crashes,day_time_total_crashes,night_time_crash_prone,night_time_simple_crashes,night_time_fatal_crashes,night_time_total_crashes,blackspot_persons_killed,blackspot_persons_injured,lat,lng,x,y,district,geocodeSource,record_id,location,fatal_crashes,simple_crashes,total_crashes,latitude,longitude,coordinate_status,source_record
20,Sec-23 Petrol Pump,Qutab Garh Road,7,5,12,2024,true,true,0,3,3,false,,,,false,,,,true,0,5,5,true,6,4,10,false,,,,,,,,,,,unresolved,20,Sec-23 Petrol Pump,5,7,12,,,unresolved,
21,Zakhira Flyover,Rohtak Road,6,5,11,2024,false,false,,,,true,5,3,8,false,,,,false,,,,false,,,,true,3,4,7,,,28.665,77.159,603.7,412,West,matched to 2023 geocoded zone by name,21,Zakhira Flyover,5,6,11,28.665,77.159,matched to 2023 geocoded zone by name,
22,Red Light Pulprahlad Pur,Mehrauli Badarpur Road,5,5,10,2024,false,false,,,,true,3,4,7,true,2,5,7,false,,,,true,2,4,6,false,,,,,,,,,,,unresolved,22,Red Light Pulprahlad Pur,5,5,10,,,unresolved,
23,Prem Bari Pull,Ring Road,4,5,9,2024,false,true,0,3,3,false,,,,false,,,,false,,,,false,,,,true,3,3,6,,,,,,,,unresolved,23,Prem Bari Pull,5,4,9,,,unresolved,
24,Hanuman Mandir Yamuna Bazar,Ring Road,4,5,9,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,,,,,,unresolved,24,Hanuman Mandir Yamuna Bazar,5,4,9,,,unresolved,
25,Punjabi Bagh Chowk,Ring Road,4,5,9,2024,true,false,,,,false,,,,false,,,,true,3,3,6,true,3,3,6,false,,,,,,28.672,77.132,561.1,399.4,West,matched to 2023 geocoded zone by name,25,Punjabi Bagh Chowk,5,4,9,28.672,77.132,matched to 2023 geocoded zone by name,
26,Mukarba Chowk,GTK Road,3,5,8,2024,true,false,,,,true,0,3,3,false,,,,true,1,3,4,false,,,,true,1,5,6,,,28.7373,77.1598,605,282.2,Outer North,matched to 2023 geocoded zone by name,26,Mukarba Chowk,5,3,8,28.7373,77.1598,matched to 2023 geocoded zone by name,
27,Shamshan Ghat Geeta Colony,Yamuna Pusta Road,3,5,8,2024,true,true,3,3,6,false,,,,false,,,,true,0,4,4,false,,,,true,0,3,3,,,,,,,,unresolved,27,Shamshan Ghat Geeta Colony,5,3,8,,,unresolved,
28,Goyla Village Najafgarh,Goyla Dairy Road,2,5,7,2024,false,false,,,,false,,,,false,,,,false,,,,true,1,3,4,false,,,,,,28.587,76.994,343.7,552.1,Dwarka,matched to 2023 geocoded zone by name,28,Goyla Village Najafgarh,5,2,7,28.587,76.994,matched to 2023 geocoded zone by name,
29,Gandhi Vihar Bus Stand,Outer Ring Road,2,5,7,2024,false,false,,,,true,1,3,4,false,,,,false,,,,true,1,3,4,false,,,,,,28.718,77.206,677.8,316.8,North-West,matched to 2023 geocoded zone by name,29,Gandhi Vihar Bus Stand,5,2,7,28.718,77.206,matched to 2023 geocoded zone by name,
