rank,name,road,simpleCrashes,fatalCrashes,totalCrashes,lat,lng,geocoded
84,Pu/ Mithai Spm Marg,SPM Marg,1,3,4,28.66,77.215,true
85,Paper Market Gajipur,Paper Market Road,1,3,4,28.631,77.319,true
86,Goy/a Village Najafgarh,Goy/a Dairy Road,1,3,4,28.587,76.994,true
87,Near Haldi Ram Wazirpur,Ring Road,0,3,3,28.691,77.15,true
88,Surya Nagar Red Light,Road No.56,0,3,3,28.668,77.324,true
89,lg Indoor Stadium,Ring Road,13,2,15,28.63,77.249,true
90,Seelampur T Point,G.T.Road,13,2,15,28.67,77.266,true
91,Moti Bagh Flyover,Ring Road,12,2,14,28.585,77.171,true
92,Ashram Chowk,Ring Road,12,2,14,28.572,77.256,true
93,Shakarpur Chungi,Vikas Marg,11,2,13,28.631,77.279,true
94,Dhaula Kuan,Ring Road,10,2,12,28.592,77.162,true
95,Khaira More Najafgarh,Najafgarh Dwarka Rd,10,2,12,28.608,76.98,true
96,Azadpur Chowk,GTKRoad,10,2,12,28.711,77.175,true
97,Mahipalpur Flyover,NH-8,9,2,11,28.548,77.131,true
98,Uttam Nagar,Najafgarh Road,8,2,10,28.621,77.065,true
99,Shankar Vihar,NH-8,8,2,10,28.558,77.145,true
100,Shanti Van,Ring Road,8,2,10,28.647,77.247,true
101,Zakhira Flyover,Rohtak Road,13,1,14,28.665,77.159,true
102,Subhash Nagar Metro Station,Najafgarh Road,11,1,12,28.64,77.112,true
103,Under Pass Patparganj,Patparganj Road,9,1,10,28.625,77.296,true
104,Rajoukari Flyover,NH-8,9,1,10,28.52,77.106,true
105,Bara/ Khana Chowk,Rani Jhansi Road,9,1,10,28.663,77.206,true
106,Moo/ Chand,Ring Road,15,0,15,28.564,77.234,true
107,Outer Circle Cp Near Minto Road,Outer Circle Cp,10,0,10,28.634,77.221,true
